
################################ SETTINGS ###################################
#RUN ID: 1529581511.634093
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 955.0, 27141.204853811705)
AP:100
x:-449.2026757400359, y:220.36289726759932, type:1, wire:101
x:96.58815296159113, y:-428.76719727033014, type:0, wire:26
x:-149.9495701712581, y:211.01504294093377, type:1, wire:51
x:184.72430796887863, y:251.7663783691033, type:0, wire:85
x:191.53540343936982, y:166.1629497369879, type:0, wire:45
x:289.47181689989895, y:-482.639446745132, type:0, wire:0
x:201.8365933504473, y:-127.32047004376443, type:1, wire:5
x:-423.64323335510755, y:-471.8951867456977, type:0, wire:26
x:334.92772262592575, y:-268.1990690518885, type:0, wire:85
x:-422.22648932671245, y:-55.55930104542358, type:0, wire:49
x:452.805247070142, y:40.29317214831224, type:0, wire:71
x:-160.59356990055858, y:360.8401316749577, type:1, wire:73
x:351.94584220149346, y:-123.38692828475284, type:0, wire:7
x:-99.15502380729737, y:-184.57664026128396, type:0, wire:0
x:-170.45998566221317, y:410.64375637144553, type:0, wire:101
x:16.62149733617121, y:283.6997700783106, type:1, wire:41
x:422.9454195819734, y:74.1872826355532, type:0, wire:86
x:420.3294910811762, y:-478.5110224707377, type:0, wire:80
x:241.9803193159976, y:-225.12609710003278, type:0, wire:7
x:95.30492524620928, y:53.174662348270495, type:0, wire:85
x:-6.17232276419719, y:-297.79734570983436, type:0, wire:0
x:196.8799555613158, y:493.98605171777854, type:1, wire:10
x:-174.563006224518, y:-138.99828025392628, type:1, wire:-1
x:-210.4511627460665, y:149.36266925440245, type:0, wire:101
x:-259.6594765531633, y:282.0097872537763, type:0, wire:101
x:247.3572544058865, y:488.40441915071045, type:0, wire:100
x:78.0871800616591, y:-32.979150968089726, type:0, wire:86
x:-49.106981711699746, y:241.45687322471878, type:0, wire:73
x:205.4469980928857, y:-156.92778276506954, type:0, wire:2
x:-372.8958943207051, y:-161.50899658569756, type:0, wire:5
x:-17.813620538889808, y:-409.2982875056662, type:0, wire:51
x:195.04630451817582, y:-277.03568641358424, type:0, wire:71
x:65.21216730953577, y:250.0761563096812, type:0, wire:43
x:81.93966513107199, y:4.656523618782566, type:0, wire:5
x:-94.3943440301682, y:40.94735690596809, type:0, wire:86
x:317.16812288565376, y:157.3898747291367, type:0, wire:0
x:105.38637658411255, y:-58.00907213285153, type:0, wire:26
x:-49.856411766931146, y:339.08848319269964, type:0, wire:101
x:271.3447120996667, y:12.556537133174766, type:1, wire:0
x:-440.6359808483536, y:16.932053479888932, type:1, wire:101
x:215.08717348433154, y:276.27164112590793, type:0, wire:62
x:-5.396980402867982, y:-426.6864366675555, type:0, wire:0
x:123.37550191053445, y:-274.8167970319348, type:1, wire:43
x:321.96691363186324, y:-117.20242064495659, type:0, wire:85
x:-256.5832692015124, y:-145.3038058491961, type:1, wire:26
x:73.10302213608634, y:208.04469448334567, type:1, wire:9
x:120.10709091812998, y:101.9239904765846, type:0, wire:86
x:70.84921779952013, y:135.5183485084196, type:0, wire:43
x:-251.2530135421245, y:-278.97139276029156, type:1, wire:49
x:-397.9820781834012, y:-142.8917842784257, type:0, wire:27
IND:3
#fitness: 	(0.99, 950.0, 30567.06704490369)
AP:100
x:190.18368952542272, y:-146.96566025178188, type:0, wire:43
x:-150.8448617398821, y:364.59990409070474, type:0, wire:100
x:-112.42980559781051, y:-416.04734621675203, type:0, wire:100
x:536.1343613150776, y:-56.975732025919726, type:0, wire:42
x:35.78427819969545, y:-19.76919914128004, type:0, wire:55
x:247.72623053413446, y:130.40150182032465, type:0, wire:43
x:-379.7469260808698, y:-426.11080856027377, type:0, wire:83
x:329.78275203852724, y:-173.43208698370267, type:1, wire:5
x:29.63627070724779, y:-367.3911701510243, type:0, wire:85
x:-310.58375178815436, y:75.91677179414955, type:0, wire:78
x:-40.09794775411627, y:370.67627788903656, type:0, wire:20
x:-380.3138066252949, y:290.13655351431237, type:0, wire:96
x:-405.24935839984386, y:-268.9142082827192, type:0, wire:7
x:265.7769227091315, y:-86.47790619380699, type:0, wire:86
x:-470.05819635137243, y:-262.1705123029487, type:0, wire:23
x:17.823540012683143, y:-284.7514080949078, type:0, wire:8
x:44.91377528132805, y:470.80941660956074, type:0, wire:100
x:371.14292854334764, y:30.027738997892357, type:0, wire:62
x:-53.8016785778517, y:95.80459711300901, type:1, wire:47
x:431.76362599643346, y:357.7402177370537, type:1, wire:85
x:60.62332607808257, y:262.0688899237058, type:0, wire:85
x:-323.25746624438335, y:277.9453360282385, type:0, wire:20
x:-207.7045202061147, y:387.9433557780371, type:1, wire:100
x:-322.81328490789144, y:-251.45238975395807, type:0, wire:20
