
################################ SETTINGS ###################################
#RUN ID: 1529578130.127105
#Genetic Algorithm Parameters:
#Max gen: 		500
#Migrations Interval: 	100	with 2% migrating individual
#N Islands:	4 with pop size:	300
#INDPB:	0.07
#Tournament size:	 3
#CXPB:	0.5	MUTPB:	0.25
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(1.0, 935.0, 28988.695223881146)
AP:84
x:-36.63915535487216, y:-60.41774549425929, type:0, wire:73
x:-96.60432130689185, y:-165.68322166463312, type:0, wire:47
x:-292.7489888637516, y:157.65628418111638, type:0, wire:21
x:356.1765380383221, y:-47.59135554418545, type:0, wire:98
x:-437.7087348996531, y:-50.923062898859484, type:1, wire:25
x:227.6606045834627, y:-15.233271797194952, type:0, wire:101
x:112.09859462409912, y:-228.16112348852937, type:1, wire:40
x:-80.05714277836853, y:423.6211708932761, type:0, wire:101
x:-182.7152484399753, y:139.83279295137243, type:0, wire:34
x:-21.6749482276579, y:75.10681696077297, type:1, wire:47
x:-407.66843473417043, y:-211.02144687972373, type:1, wire:73
x:24.17814367979941, y:229.72750005049136, type:0, wire:101
x:72.11026626813636, y:36.63735818640516, type:1, wire:34
x:-110.13199984057522, y:112.14652810134868, type:0, wire:37
x:224.50771125267286, y:417.9986162645371, type:1, wire:21
x:337.39098363925547, y:130.4682710261582, type:0, wire:47
x:210.99614027374048, y:328.4620404077872, type:0, wire:81
x:-382.6335667875571, y:241.85351986236927, type:1, wire:70
x:-231.54322462411577, y:300.799531086545, type:0, wire:6
x:-301.1157221569938, y:-215.9479755184011, type:0, wire:63
x:92.96723576976537, y:277.9989076612006, type:1, wire:4
x:202.0817077827785, y:-6.415355735043363, type:1, wire:34
x:453.7338805792119, y:-73.32196572760756, type:0, wire:97
