
################################ SETTINGS ###################################
#RUN ID: 1529519249.0195754
#Genetic Algorithm Parameters:
#Max gen: 		300
#Migrations Interval: 	50	with 2% migrating individual
#N Islands:	6 with pop size:	100
#INDPB:	0.07
#Tournament size:	 5
#CXPB:	0.5	MUTPB:	0.2
##############################################################################
N_INDIVIDUALS:10
IND:0
#fitness: 	(0.995, 880.0)AP:71
x:-359.7704079726392, y:424.98618772213104, type:0, wire:91
x:330.7144545597694, y:291.44841847726, type:1, wire:41
x:73.57719447492897, y:19.743728018620267, type:1, wire:68
x:13.828736593780867, y:-171.9830271811966, type:0, wire:101
x:-213.12861341107146, y:-34.61994416797802, type:0, wire:61
x:394.7392729272144, y:-177.4823007704249, type:1, wire:95
x:413.41606379326345, y:198.17074514579662, type:0, wire:46
x:-233.65891704446028, y:-109.43141096069019, type:0, wire:31
x:-70.45931616546761, y:408.1444485900685, type:0, wire:76
IND:7
#fitness: 	(0.99, 665.0)AP:55
x:126.71642344320475, y:-25.732074589799367, type:0, wire:33
x:378.02196124916367, y:25.215755705994013, type:0, wire:39
x:-303.6522673903347, y:-273.5935468974404, type:1, wire:33
x:44.87211166672523, y:161.97646481707585, type:1, wire:54
x:-334.996997039543, y:-179.27824777689816, type:1, wire:1
x:478.24366584065956, y:496.74960120484434, type:0, wire:52
x:259.8584771949898, y:39.37384587962003, type:0, wire:46
x:275.18514458912756, y:-434.39706711561223, type:0, wire:3
x:441.4795182719329, y:-309.16996524522773, type:0, wire:30
x:48.271977364644044, y:-404.8700807077571, type:1, wire:64
x:259.8309541109326, y:-260.51481697046046, type:1, wire:23
x:-377.04646423764177, y:-5.87494133186734, type:0, wire:19
x:-24.17722410293996, y:109.72958913674489, type:1, wire:49
x:-283.46205785972177, y:424.41271313573316, type:0, wire:17
x:-120.06956470227335, y:24.599709261427062, type:0, wire:31
x:26.968212345537257, y:454.7872849300346, type:0, wire:91
