gen	nevals	avg                            	std                            	min                	max                
142	173   	[  0.90308333 788.66666667]    	[5.09778683e-02 7.47945334e+01]	[  0.72 495.  ]    	[  0.97 955.  ]    
143	181   	[  0.90563333 793.33333333]    	[5.31877074e-02 6.63454763e+01]	[  0.65 595.  ]    	[  0.97 955.  ]    
144	181   	[  0.90213333 785.33333333]    	[5.41674769e-02 7.13084069e+01]	[  0.67 530.  ]    	[  0.97 945.  ]    
145	167   	[  0.90298333 785.65      ]    	[5.59703766e-02 7.58737603e+01]	[  0.715 535.   ]  	[  0.975 945.   ]  
146	166   	[  0.90425    794.03333333]    	[5.57242093e-02 6.71582625e+01]	[  0.71 610.  ]    	[  0.975 945.   ]  
147	163   	[  0.90486667 790.06666667]    	[5.53472272e-02 6.93361057e+01]	[  0.715 580.   ]  	[  0.975 910.   ]  
148	166   	[  0.90796667 791.4       ]    	[5.16642903e-02 6.62422826e+01]	[  0.73 585.  ]    	[  0.975 900.   ]  
149	175   	[  0.90653333 789.93333333]    	[5.64946802e-02 7.09130610e+01]	[  0.71 545.  ]    	[  0.975 915.   ]  
150	174   	[  0.90456667 786.83333333]    	[5.61958974e-02 7.42022387e+01]	[  0.695 470.   ]  	[  0.975 920.   ]  
151	179   	[  0.90923333 795.7       ]    	[5.62545899e-02 7.04320713e+01]	[  0.71 605.  ]    	[  0.975 915.   ]  
152	164   	[  0.91521667 801.31666667]    	[5.26105476e-02 7.01630225e+01]	[  0.74 590.  ]    	[  0.975 945.   ]  
153	166   	[  0.9097     790.21666667]    	[5.07189314e-02 7.08898422e+01]	[  0.745 580.   ]  	[  0.975 940.   ]  
154	174   	[  0.9097     794.91666667]    	[5.47135876e-02 7.09089302e+01]	[  0.705 610.   ]  	[  0.975 940.   ]  
155	192   	[  0.90635    788.96666667]    	[5.49963105e-02 7.13122165e+01]	[  0.62 550.  ]    	[  0.975 935.   ]  
156	187   	[  0.90153333 783.41666667]    	[5.84677879e-02 7.14264871e+01]	[  0.68 525.  ]    	[  0.975 940.   ]  
157	169   	[  0.90326667 786.61666667]    	[5.39551872e-02 6.83127835e+01]	[  0.67 590.  ]    	[  0.975 935.   ]  
158	159   	[  0.90121667 781.9       ]    	[5.51280605e-02 6.87584419e+01]	[  0.66 580.  ]    	[  0.975 920.   ]  
159	194   	[  0.8978 777.5   ]            	[5.60742960e-02 6.90513094e+01]	[  0.66 580.  ]    	[  0.975 920.   ]  
160	169   	[  0.89875    768.78333333]    	[5.94378176e-02 7.44195520e+01]	[  0.73 535.  ]    	[  0.975 925.   ]  
161	163   	[  0.90626667 776.21666667]    	[5.34327823e-02 6.82759332e+01]	[  0.725 555.   ]  	[  0.975 905.   ]  
162	198   	[  0.9008     772.96666667]    	[5.29231518e-02 6.68308728e+01]	[  0.645 535.   ]  	[  0.975 915.   ]  
163	181   	[  0.8995     771.43333333]    	[5.65589663e-02 7.17851811e+01]	[  0.66 570.  ]    	[  0.975 970.   ]  
